22.877	0.450	1.000
29.532	0.450	1.000
31.433	0.450	1.000
32.384	0.450	1.000
37.138	0.450	1.000
39.039	0.450	1.000
40.941	0.450	1.000
45.695	0.450	1.000
46.646	0.450	1.000
48.547	0.450	1.000
53.301	0.450	1.000
57.105	0.450	1.000
59.006	0.450	1.000
68.516	0.450	1.000
69.467	0.450	1.000
70.418	0.450	1.000
74.221	0.450	1.000
77.073	0.450	1.000
78.975	0.450	1.000
84.680	0.450	1.000
86.582	0.450	1.000
97.992	0.450	1.000
101.796	0.450	1.000
108.452	0.450	1.000
109.403	0.450	1.000
113.206	0.450	1.000
114.157	0.450	1.000
115.107	0.450	1.000
121.763	0.450	1.000
128.419	0.450	1.000
132.222	0.450	1.000
138.877	0.450	1.000
170.288	0.450	1.000
171.239	0.450	1.000
174.092	0.450	1.000
175.043	0.450	1.000
177.896	0.450	1.000
179.797	0.450	1.000
192.158	0.450	1.000
193.109	0.450	1.000
194.060	0.450	1.000
197.863	0.450	1.000
198.814	0.450	1.000
201.667	0.450	1.000
202.617	0.450	1.000
209.273	0.450	1.000
211.174	0.450	1.000
213.076	0.450	1.000
222.582	0.450	1.000
231.139	0.450	1.000
234.943	0.450	1.000
236.844	0.450	1.000
237.795	0.450	1.000
244.450	0.450	1.000
249.205	0.450	1.000
253.959	0.450	1.000
254.909	0.450	1.000
274.876	0.450	1.000
275.827	0.450	1.000
280.582	0.450	1.000
282.483	0.450	1.000
285.336	0.450	1.000
288.188	0.450	1.000
314.845	0.450	1.000
318.648	0.450	1.000
320.549	0.450	1.000
324.352	0.450	1.000
330.057	0.450	1.000
333.860	0.450	1.000
340.515	0.450	1.000
342.417	0.450	1.000
346.221	0.450	1.000
349.073	0.450	1.000
355.730	0.450	1.000
356.681	0.450	1.000
357.631	0.450	1.000
374.746	0.450	1.000
375.697	0.450	1.000
384.254	0.450	1.000
385.205	0.450	1.000
390.910	0.450	1.000
399.467	0.450	1.000
400.418	0.450	1.000
404.221	0.450	1.000
405.172	0.450	1.000
408.976	0.450	1.000
410.877	0.450	1.000
413.730	0.450	1.000
416.583	0.450	1.000
419.435	0.450	1.000
420.386	0.450	1.000
422.287	0.450	1.000
424.189	0.450	1.000
426.091	0.450	1.000
427.993	0.450	1.000
430.845	0.450	1.000
436.550	0.450	1.000
